City,Revenue
Ä°stanbul,6008497
Ä°zmir,7300140
Adana,4185806
Afyonkarahisar,4952497
Amasya,2954086
Ankara,5061375
Antalya,4320829.5
AydÄ±n,3429798.5
ÅžanlÄ±urfa,3261924
BalÄ±kesir,4758476
Bolu,4263629
Bursa,9591369
Denizli,2344689
DiyarbakÄ±r,4234001
Edirne,5444227
ElazÄ±ÄŸ,5525735
EskiÅŸehir,3859212.5
Gaziantep,4316715
Isparta,4015749
KÄ±rklareli,1619683
KÃ¼tahya,2993069
KarabÃ¼k,3807496
Kastamonu,3273041
Kayseri,3250471.5
Kocaeli,3745135
Konya,2667256.5
MuÄŸla,4111129
Osmaniye,3376145
Sakarya,1011030
Samsun,2809931
TekirdaÄŸ,2753950
Tokat,2675511
Trabzon,5284100.5
UÅŸak,1763231
